cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10
KLHL17,AGRN,VAMP3,PANK4,FAM41C,HES4,TTLL10-AS1,SAMD11,C1orf159,SCNN1D
PLEKHN1,TMEM52,RERE-AS1,TNFRSF14-AS1,ISG15,SDF4,TTLL10,NOC2L,MORN1,ATAD3B
NADK,CFAP74,PIK3CD,H6PD,ACAP3,C1QTNF12,TNFRSF18,B3GALT6,PEX10,ATAD3A
MMEL1,GABRD,KIF1B,FBXO6,GNB1,UBE2J2,TNFRSF4,MRPL20-AS1,PRXL2B,FNDC10
TNFRSF9,PRKCZ,PGD,CLCN6,RER1,PUSL1,INTS11,DFFB,PRDM16-DT,CHD5
ERRFI1,TP73,C1orf127,KIAA2013,TNFRSF14,CPTP,TAS1R3,C1orf174,PRDM16,ACOT7
GPR157,GPR153,MTHFR,MIIP,TPRG1L,DVL1,AURKAIP1,NOL9,MEGF6,TMEM201
RBP7,PIK3CD-AS1,MFN2,TMEM51,WRAP73,CCNL2,MRPL20,ENO1,NPHP4,CENPS
AGTRAP,KAZN,FHAD1,PLEKHM2,SMIM1,SSU72,ANKRD65,ENO1-AS1,RPL22,CORT
PLOD1,SLC25A34,CTRC,SDHB,RNF207,CDK11B,VWA1,PIK3CD-AS2,ICMT,SRM
TNFRSF8,PADI6,ECE1,PADI4,HES2,SLC35E2B,ATAD3C,DFFA,DNAJC11,EXOSC10-AS1
TNFRSF1B,ALDH4A1,CDC42-IT1,CAPZB,SPSB1,CDK11A,TMEM240,TARDBP,CA6,AGMAT
EFHD2,AKR7A3,ID3,MICOS10,NMNAT1,PRKCZ-AS1,MIB2,EXOSC10,SLC2A5,MRTO4
PADI2,SLC66A1,FUCA1,PINK1,VPS13D,SKI,MMP23B,DHRS3,SLC25A33,AKR7A2
ARHGEF10L,PLA2G2D,CD164L2,CDC42,CASP9,LRRC47,SLC35E2A,SPATA21,UBIAD1,PINK1-AS
PLA2G2C,KIF17,STX12,TCEA3,DDI2,CEP104,FAAP20,RCC2,ARHGEF19,NBPF3
UBXN10-AS1,E2F2,SESN2,RHD,FBLIM1,ZBTB48,TTC34,NBL1,CPLANE2,AUNIP
UBXN10,GPR3,LAPTM5,SH3BGRL3,FBXO42,KLHL21,KCNAB2,DDOST,EMC1,STMN1
CDA,RAB42,RNF19B,ZDHHC18,NECAP2,CAMTA1,TNFRSF25,LDLRAD2,HSPG2,FAM110D
C1QA,PTPRU,TRIM62,SLC9A1,NBPF1,CLSTN1,PLEKHG5,LUZP1,KDM1A,ZNF593
EPHB2,AK2,PHC2,PTP4A2,ATP13A2,CTNNBIP1,PHF13,RPL11,HNRNPR,HMGN2
SELENON,TEKT2,KIAA0319L,ZBTB8OS,IFFO2,LZIC,THAP3,ELOA-AS1,SRSF10,RCC1
UBXN11,COL8A2,AGO4,AGO1,UBR4,UBE4B,CAMTA1-DT,PITHD1,CNKSR1,IQCC
CRYBG2,BMP8B,CSF3R,MAP7D1,LYPLA2,DRAXIN,PER3,STPG1,NUDC,FAM167B
TRNP1,OXCT2,ZC3H12A,STK40,RCAN3AS,PRDM2,PARK7,SRRM1,SMPDL3B,DLGAP3
TENT5B,CITED4,MTF1,LSM10,RCAN3,DNAJC16,RERE,PAQR7,SNHG3,CLSPN
MAP3K6,FOXO6,PPT1,RRAGC,NCMAP-DT,UQCRHL,MIR34AHG,PDIK1L,SNHG12,CDCA8
FGR,CLDN19,SMAP2,CAP1,CLIC4,SPEN,LNCTAM34A,CEP85,MECR,RHBDL2
THEMIS2,CDC20,RIMS3,ZMPSTE24,RSRP1,ZBTB17,PEX14,PIGV,MATN1-AS1,NDUFS5
PTAFR,PTPRF,BTBD19,ATP6V0B,TMEM50A,SZRD1,CASZ1,TMEM222,CCDC28B,CTPS1
SERINC2,ST3GAL3,CCDC17,TCTEX1D4,PAFAH2,CROCC,MTOR,AHDC1,RBBP4,SLFNL1-AS1
MYCL,ARTN,SLC5A9,PTCH2,CD52,EMC1-AS1,FBXO44,RPA2,SFPQ,PPIH
MFSD2A,FOXD2-AS1,JUN,MKNK1,RPS6KA1,TMCO4,MAD2L2,PHACTR4,SH3D21,EBNA1BP2
